Source,NR,WR,SR,ER,NER,All India,% Share,Date
Total,1111.0,1717.0,1064.0,702.0,54.0,4647.0,100,2023-01-12
Total,18028.0,29489.0,10734.0,3402.0,798.0,62451.0,100,
Coal,713.0,1449.0,649.0,686.0,17.0,3513.0,75,2023-01-13
Lignite,30.0,14.0,64.0,0.0,0.0,108.0,2,2023-01-13
Hydro,141.0,77.0,105.0,33.0,8.0,364.0,8,2023-01-13
"Gas, Naptha & Diesel",15.0,18.0,6.0,0.0,32.0,11.0,2,2023-01-13
"RES (Wind, Solar, Biomass & Others)",158.0,145.0,184.0,5.0,0.0,492.0,11,2023-01-13
Total,1077.0,1739.0,1079.0,724.0,57.0,4677.0,100,2023-01-13
Total,17953.0,29114.0,10109.0,3652.0,860.0,61688.0,100,
Coal,221.0,1439.0,684.0,704.0,16.0,3570.0,76,2023-01-14
Lignite,33.0,14.0,65.0,0.0,0.0,112.0,2,2023-01-14
Hydro,136.0,81.0,89.0,30.0,8.0,343.0,7,2023-01-14
"Gas, Naptha & Diesel",15.0,24.0,6.0,0.0,31.0,71.0,2,2023-01-14
"RES (Wind, Solar, Biomass & Others)",147.0,127.0,202.0,3.0,0.0,479.0,10,2023-01-14
Total,1078.0,1721.0,1118.0,736.0,56.0,4709.0,100,2023-01-14
Total,18750.0,28717.0,9369.0,4362.0,860.0,62058.0,100,
Coal,710.0,1461.0,703.0,691.0,17.0,3581.0,76,2023-01-15
Lignite,31.0,14.0,66.0,0.0,0.0,111.0,2,2023-01-15
Hydro,137.0,71.0,80.0,29.0,10.0,327.0,7,2023-01-15
Nuclear,20.0,37.0,7.0,0.0,0.0,128.0,3,2023-01-15
"Gas, Naptha & Diesel",15.0,14.0,6.0,0.0,31.0,66.0,1,2023-01-15
"RES (Wind, Solar, Biomass & Others)",158.0,107.0,211.0,3.0,0.0,479.0,10,2023-01-15
Total,1071.0,1703.0,1137.0,722.0,58.0,4692.0,100,2023-01-15
Total,19560.0,27704.0,10156.0,4958.0,860.0,63238.0,100,
Coal,714.0,1493.0,706.0,681.0,18.0,3613.0,77,2023-01-16
Lignite,28.0,13.0,69.0,0.0,0.0,110.0,2,2023-01-16
Hydro,138.0,81.0,90.0,31.0,9.0,348.0,7,2023-01-16
Nuclear,20.0,36.0,65.0,0.0,0.0,122.0,3,2023-01-16
"Gas, Naptha & Diesel",13.0,15.0,6.0,0.0,31.0,65.0,1,2023-01-16
"RES (Wind, Solar, Biomass & Others)",142.0,102.0,205.0,3.0,1.0,452.0,10,2023-01-16
Total,1055.0,1739.0,1142.0,715.0,58.0,4708.0,100,2023-01-16
Total,19850.0,30064.0,9891.0,5618.0,860.0,66283.0,100,
Coal,699.0,1489.0,700.0,659.0,18.0,3564.0,76,2023-01-17
Lignite,28.0,12.0,67.0,0.0,0.0,107.0,2,2023-01-17
Hydro,138.0,84.0,91.0,27.0,8.0,348.0,7,2023-01-17
Nuclear,20.0,36.0,61.0,0.0,0.0,117.0,3,2023-01-17
"Gas, Naptha & Diesel",12.0,15.0,6.0,0.0,31.0,63.0,1,2023-01-17
"RES (Wind, Solar, Biomass & Others)",157.0,11.0,216.0,3.0,1.0,488.0,10,2023-01-17
Total,1054.0,1747.0,1141.0,689.0,58.0,4687.0,100,2023-01-17
Total,19350.0,30674.0,9441.0,4386.0,881.0,64732.0,100,
Coal,702.0,1423.0,673.0,670.0,17.0,3485.0,76,2023-01-18
Lignite,29.0,13.0,58.0,0.0,0.0,99.0,2,2023-01-18
Hydro,135.0,65.0,60.0,26.0,8.0,294.0,6,2023-01-18
Nuclear,20.0,36.0,63.0,0.0,0.0,120.0,3,2023-01-18
"Gas, Naptha & Diesel",9.0,9.0,6.0,0.0,30.0,54.0,1,2023-01-18
"RES (Wind, Solar, Biomass & Others)",146.0,117.0,245.0,7.0,1.0,516.0,11,2023-01-18
Total,19852.0,29679.0,9751.0,5300.0,848.0,65429.0,100,2023-01-18
Coal,714.0,1457.0,724.0,670.0,17.0,3582.0,7,2023-01-19
Lignite,28.0,12.0,63.0,0.0,0.0,103.0,2,2023-01-19
Hydro,136.0,75.0,68.0,26.0,1.0,312.0,7,2023-01-19
Nuclear,20.0,36.0,68.0,0.0,0.0,124.0,3,2023-01-19
"Gas, Naptha & Diesel",9.0,16.0,6.0,0.0,31.0,62.0,1,2023-01-19
"RES (Wind, Solar, Biomass & Others)",150.0,104.0,228.0,6.0,1.0,489.0,10,2023-01-19
Total,1056.0,1701.0,1158.0,702.0,56.0,4672.0,100,2023-01-19
Total,18332.0,27320.0,8484.0,5885.0,792.0,60812.0,100,
Coal,117.0,1459.0,721.0,653.0,17.0,3568.0,7,2023-01-20
Lignite,27.0,12.0,60.0,0.0,0.0,99.0,2,2023-01-20
Hydro,132.0,74.0,85.0,28.0,8.0,326.0,7,2023-01-20
Nuclear,20.0,37.0,70.0,0.0,0.0,127.0,3,2023-01-20
"Gas, Naptha & Diesel",9.0,19.0,6.0,0.0,33.0,67.0,1,2023-01-20
"RES (Wind, Solar, Biomass & Others)",122.0,118.0,231.0,4.0,1.0,476.0,10,2023-01-20
Total,18443.0,24932.0,8176.0,6640.0,1042.0,59233.0,100,2023-01-20
Coal,696.0,1470.0,711.0,657.0,17.0,3550.0,76,2023-01-21
Lignite,29.0,17.0,63.0,0.0,0.0,109.0,2,2023-01-21
Hydro,129.0,63.0,69.0,26.0,9.0,295.0,6,2023-01-21
Nuclear,20.0,37.0,70.0,0.0,0.0,127.0,3,2023-01-21
"Gas, Naptha & Diesel",9.0,22.0,6.0,0.0,32.0,69.0,1,2023-01-21
Total,1055.0,1716.0,1168.0,687.0,58.0,4684.0,100,2023-01-21
Total,19238.0,24780.0,6766.0,5730.0,1042.0,57555.0,100,
Coal,718.0,1481.0,714.0,658.0,12.0,3583.0,76,2023-01-22
Lignite,31.0,18.0,60.0,0.0,0.0,110.0,2,2023-01-22
Hydro,122.0,59.0,65.0,27.0,8.0,281.0,6,2023-01-22
Nuclear,20.0,37.0,7.0,0.0,0.0,127.0,3,2023-01-22
"Gas, Naptha & Diesel",9.0,21.0,6.0,0.0,31.0,68.0,1,2023-01-22
"RES (Wind, Solar, Biomass & Others)",176.0,117.0,266.0,3.0,1.0,562.0,12,2023-01-22
Total,1077.0,1733.0,1182.0,688.0,52.0,4731.0,100,2023-01-22
Total,19406.0,25560.0,6644.0,4905.0,1042.0,57556.0,100,
Coal,702.0,1494.0,745.0,677.0,12.0,3631.0,76,2023-01-23
Lignite,31.0,16.0,52.0,0.0,0.0,99.0,2,2023-01-23
Hydro,124.0,60.0,66.0,28.0,7.0,285.0,6,2023-01-23
Nuclear,20.0,37.0,75.0,0.0,0.0,132.0,3,2023-01-23
"RES (Wind, Solar, Biomass & Others)",187.0,118.0,242.0,3.0,1.0,551.0,12,2023-01-23
Total,1075.0,1740.0,1187.0,708.0,52.0,4763.0,100,2023-01-23
Total,19196.0,26005.0,9354.0,4505.0,1042.0,60101.0,100,
Coal,693.0,1505.0,737.0,702.0,10.0,3648.0,7,2023-01-24
Lignite,30.0,16.0,55.0,0.0,0.0,101.0,2,2023-01-24
Hydro,125.0,49.0,67.0,26.0,8.0,274.0,6,2023-01-24
Nuclear,20.0,36.0,76.0,0.0,0.0,133.0,3,2023-01-24
"RES (Wind, Solar, Biomass & Others)",163.0,117.0,255.0,4.0,1.0,539.0,11,2023-01-24
Total,1043.0,1738.0,1197.0,732.0,52.0,4762.0,100,2023-01-24
Total,17901.0,26345.0,9474.0,3345.0,1042.0,58106.0,100,
Lignite,32.0,18.0,52.0,0.0,0.0,101.0,2,
Hydro,122.0,31.0,59.0,26.0,7.0,245.0,5,
Nuclear,20.0,32.0,76.0,0.0,0.0,129.0,3,
"RES (Wind, Solar, Biomass & Others)",173.0,117.0,234.0,4.0,1.0,530.0,12,
Total,1031.0,1613.0,1110.0,725.0,50.0,4530.0,100,
Total,17626.0,26370.0,9069.0,3345.0,987.0,57396.0,100,
Coal,702.0,1445.0,703.0,709.0,12.0,3570.0,7,2023-01-25
Lignite,31.0,19.0,58.0,0.0,0.0,108.0,2,2023-01-25
Nuclear,20.0,36.0,76.0,0.0,0.0,133.0,3,2023-01-25
"Gas, Naptha & Diesel",11.0,12.0,1.0,0.0,33.0,63.0,1,2023-01-25
"RES (Wind, Solar, Biomass & Others)",168.0,107.0,225.0,8.0,1.0,508.0,11,2023-01-25
Total,1055.0,1654.0,1141.0,744.0,53.0,4647.0,100,2023-01-25
Total,17989.0,26562.0,9084.0,3380.0,987.0,58001.0,100,
Coal,677.0,1286.0,671.0,693.0,10.0,3337.0,76,2023-01-26
Lignite,28.0,19.0,60.0,0.0,0.0,106.0,2,2023-01-26
Hydro,125.0,28.0,64.0,24.0,10.0,250.0,6,2023-01-26
Nuclear,22.0,42.0,76.0,0.0,0.0,140.0,3,2023-01-26
"Gas, Naptha & Diesel",11.0,8.0,1.0,0.0,32.0,58.0,1,2023-01-26
"RES (Wind, Solar, Biomass & Others)",164.0,133.0,221.0,7.0,1.0,526.0,12,2023-01-26
Total,1026.0,1515.0,1099.0,724.0,53.0,4417.0,100,2023-01-26
Total,18685.0,25150.0,9804.0,4505.0,987.0,59130.0,100,
Coal,604.0,1286.0,621.0,629.0,9.0,3149.0,75,2023-01-27
Lignite,28.0,19.0,58.0,0.0,0.0,104.0,2,2023-01-27
Hydro,126.0,27.0,53.0,23.0,8.0,237.0,6,2023-01-27
Nuclear,24.0,44.0,71.0,0.0,0.0,145.0,3,2023-01-27
"RES (Wind, Solar, Biomass & Others)",171.0,110.0,253.0,4.0,1.0,538.0,13,2023-01-27
Total,17782.0,26840.0,9304.0,4005.0,1130.0,59060.0,100,2023-01-27
Coal,611.0,1375.0,649.0,645.0,10.0,3290.0,76,2023-01-28
Lignite,27.0,19.0,61.0,0.0,0.0,108.0,2,2023-01-28
Hydro,126.0,29.0,76.0,26.0,8.0,265.0,6,2023-01-28
Nuclear,25.0,43.0,76.0,0.0,0.0,144.0,3,2023-01-28
"Gas, Naptha & Diesel",3.0,3.0,1.0,0.0,29.0,42.0,1,2023-01-28
"RES (Wind, Solar, Biomass & Others)",168.0,119.0,210.0,5.0,1.0,502.0,12,2023-01-28
Total,17861.0,26942.0,8314.0,4005.0,1130.0,58251.0,100,2023-01-28
Coal,688.0,1435.0,694.0,677.0,11.0,3506.0,7,2023-01-29
Lignite,26.0,21.0,65.0,0.0,0.0,112.0,2,2023-01-29
Hydro,135.0,31.0,81.0,28.0,8.0,283.0,6,2023-01-29
Nuclear,25.0,32.0,71.0,0.0,0.0,133.0,3,2023-01-29
"Gas, Naptha & Diesel",4.0,4.0,6.0,0.0,31.0,45.0,1,2023-01-29
"RES (Wind, Solar, Biomass & Others)",171.0,109.0,217.0,4.0,1.0,502.0,11,2023-01-29
Total,1049.0,1632.0,1140.0,709.0,51.0,4581.0,100,2023-01-29
Total,17470.0,27222.0,8274.0,4407.0,1130.0,58502.0,100,
Coal,709.0,1446.0,714.0,681.0,11.0,3562.0,7,2023-01-30
Lignite,25.0,22.0,62.0,0.0,0.0,108.0,2,2023-01-30
Hydro,138.0,32.0,65.0,27.0,8.0,270.0,6,2023-01-30
Nuclear,25.0,38.0,76.0,0.0,0.0,140.0,3,2023-01-30
"Gas, Naptha & Diesel",4.0,5.0,6.0,0.0,31.0,46.0,1,2023-01-30
"RES (Wind, Solar, Biomass & Others)",170.0,115.0,220.0,4.0,1.0,509.0,11,2023-01-30
Total,1070.0,1657.0,1145.0,712.0,51.0,4635.0,100,2023-01-30
Total,16485.0,27107.0,9164.0,5017.0,1108.0,58880.0,100,
Coal,709.0,1413.0,675.0,694.0,11.0,3502.0,7,2023-01-31
Lignite,27.0,23.0,64.0,0.0,0.0,114.0,3,2023-01-31
Hydro,142.0,28.0,51.0,25.0,8.0,254.0,6,2023-01-31
Nuclear,25.0,35.0,76.0,0.0,0.0,136.0,3,2023-01-31
"Gas, Naptha & Diesel",4.0,4.0,6.0,0.0,31.0,46.0,1,2023-01-31
"RES (Wind, Solar, Biomass & Others)",141.0,112.0,237.0,4.0,1.0,495.0,11,2023-01-31
Total,1049.0,1614.0,1110.0,723.0,50.0,4546.0,100,2023-01-31
Total,14701.0,26383.0,8124.0,4147.0,1150.0,54503.0,100,
Coal,759.0,1451.0,714.0,698.0,12.0,3634.0,7,2023-02-01
Lignite,28.0,22.0,67.0,0.0,0.0,118.0,3,2023-02-01
Hydro,147.0,37.0,66.0,28.0,8.0,287.0,6,2023-02-01
Nuclear,25.0,44.0,76.0,0.0,0.0,145.0,3,2023-02-01
"Gas, Naptha & Diesel",6.0,11.0,1.0,0.0,32.0,55.0,1,2023-02-01
"RES (Wind, Solar, Biomass & Others)",149.0,110.0,215.0,4.0,1.0,479.0,10,2023-02-01
Total,1114.0,1676.0,1146.0,730.0,53.0,4718.0,100,2023-02-01
Total,14594.0,25063.0,7534.0,4357.0,1150.0,52697.0,100,
Coal,768.0,1469.0,738.0,694.0,12.0,3681.0,77,2023-02-02
Lignite,32.0,22.0,68.0,0.0,0.0,122.0,3,2023-02-02
Hydro,146.0,46.0,73.0,26.0,5.0,296.0,6,2023-02-02
Nuclear,25.0,44.0,76.0,0.0,0.0,145.0,3,2023-02-02
"Gas, Naptha & Diesel",12.0,17.0,7.0,0.0,31.0,67.0,1,2023-02-02
"RES (Wind, Solar, Biomass & Others)",160.0,107.0,194.0,7.0,1.0,468.0,10,2023-02-02
Total,1143.0,1704.0,1156.0,726.0,49.0,4778.0,100,2023-02-02
Total,14304.0,24583.0,9054.0,4147.0,1108.0,53196.0,100,
Coal,771.0,1464.0,743.0,704.0,12.0,3695.0,78,2023-02-03
Lignite,35.0,24.0,64.0,0.0,0.0,122.0,3,2023-02-03
Hydro,142.0,53.0,76.0,27.0,7.0,305.0,6,2023-02-03
Nuclear,25.0,45.0,76.0,0.0,0.0,146.0,3,2023-02-03
"Gas, Naptha & Diesel",16.0,26.0,7.0,0.0,31.0,80.0,2,2023-02-03
"RES (Wind, Solar, Biomass & Others)",131.0,104.0,171.0,6.0,1.0,412.0,9,2023-02-03
Total,1119.0,1715.0,1138.0,737.0,51.0,4760.0,100,2023-02-03
Total,14916.0,25571.0,8739.0,5547.0,1108.0,55881.0,100,
Coal,757.0,1410.0,723.0,678.0,11.0,3580.0,78,2023-02-04
Lignite,34.0,24.0,64.0,0.0,0.0,122.0,3,2023-02-04
Hydro,136.0,31.0,68.0,25.0,8.0,268.0,6,2023-02-04
Nuclear,25.0,43.0,76.0,0.0,0.0,144.0,3,2023-02-04
"Gas, Naptha & Diesel",9.0,18.0,1.0,0.0,31.0,64.0,1,2023-02-04
"RES (Wind, Solar, Biomass & Others)",138.0,103.0,158.0,3.0,1.0,404.0,9,2023-02-04
Total,1100.0,1629.0,1096.0,707.0,51.0,4582.0,100,2023-02-04
Total,15916.0,23634.0,9551.0,6247.0,1142.0,56489.0,100,
Coal,673.0,1403.0,641.0,644.0,10.0,3370.0,78,2023-02-05
Lignite,31.0,23.0,63.0,0.0,0.0,116.0,3,2023-02-05
Hydro,131.0,26.0,56.0,28.0,8.0,249.0,6,2023-02-05
Nuclear,25.0,32.0,76.0,0.0,0.0,133.0,3,2023-02-05
"Gas, Naptha & Diesel",4.0,18.0,7.0,0.0,31.0,60.0,1,2023-02-05
"RES (Wind, Solar, Biomass & Others)",136.0,112.0,166.0,4.0,1.0,419.0,10,2023-02-05
Total,16726.0,26544.0,10071.0,7007.0,1142.0,61489.0,100,2023-02-05
Coal,604.0,1352.0,601.0,612.0,8.0,3177.0,76,2023-02-06
Lignite,27.0,22.0,61.0,0.0,0.0,110.0,3,2023-02-06
Hydro,126.0,25.0,58.0,20.0,8.0,236.0,6,2023-02-06
Nuclear,25.0,32.0,76.0,0.0,0.0,133.0,3,2023-02-06
"Gas, Naptha & Diesel",4.0,17.0,7.0,0.0,31.0,59.0,1,2023-02-06
"RES (Wind, Solar, Biomass & Others)",160.0,109.0,173.0,3.0,1.0,446.0,11,2023-02-06
Total,17418.0,28329.0,11661.0,5907.0,1172.0,64486.0,100,2023-02-06
Coal,568.0,1242.0,509.0,552.0,7.0,2876.0,74,2023-02-07
Lignite,26.0,20.0,56.0,0.0,0.0,101.0,3,2023-02-07
Hydro,122.0,23.0,41.0,22.0,8.0,217.0,6,2023-02-07
Nuclear,25.0,30.0,76.0,0.0,0.0,131.0,3,2023-02-07
"Gas, Naptha & Diesel",4.0,8.0,5.0,0.0,30.0,46.0,1,2023-02-07
"RES (Wind, Solar, Biomass & Others)",139.0,127.0,222.0,3.0,0.0,492.0,13,2023-02-07
Total,883.0,1449.0,909.0,577.0,45.0,3863.0,100,2023-02-07
Total,16489.0,28962.0,10301.0,4557.0,1142.0,61450.0,100,
Coal,599.0,1261.0,560.0,602.0,8.0,3030.0,75,2023-02-08
Lignite,27.0,19.0,55.0,0.0,0.0,101.0,2,2023-02-08
Hydro,126.0,36.0,53.0,25.0,10.0,250.0,6,2023-02-08
Nuclear,25.0,30.0,76.0,0.0,0.0,131.0,3,2023-02-08
"Gas, Naptha & Diesel",3.0,14.0,5.0,0.0,30.0,52.0,1,2023-02-08
"RES (Wind, Solar, Biomass & Others)",158.0,124.0,213.0,3.0,1.0,498.0,12,2023-02-08
Total,937.0,1484.0,964.0,630.0,48.0,4062.0,100,2023-02-08
Total,16742.0,27707.0,9071.0,4447.0,1172.0,59138.0,100,
Coal,605.0,1282.0,599.0,638.0,9.0,3133.0,75,2023-02-09
Lignite,27.0,17.0,57.0,0.0,0.0,102.0,2,2023-02-09
Hydro,128.0,38.0,64.0,31.0,15.0,276.0,7,2023-02-09
Nuclear,25.0,30.0,76.0,0.0,0.0,131.0,3,2023-02-09
"Gas, Naptha & Diesel",3.0,16.0,7.0,0.0,30.0,56.0,1,2023-02-09
"RES (Wind, Solar, Biomass & Others)",158.0,118.0,212.0,3.0,1.0,492.0,12,2023-02-09
Total,947.0,1501.0,1014.0,673.0,54.0,4190.0,100,2023-02-09
Total,19542.0,28402.0,10156.0,4347.0,1204.0,63650.0,100,
Coal,617.0,1316.0,635.0,673.0,9.0,3249.0,76,2023-02-10
Lignite,27.0,17.0,62.0,0.0,0.0,106.0,2,2023-02-10
Hydro,127.0,29.0,60.0,37.0,17.0,269.0,6,2023-02-10
Nuclear,25.0,31.0,76.0,0.0,0.0,132.0,3,2023-02-10
"Gas, Naptha & Diesel",3.0,16.0,7.0,0.0,30.0,56.0,1,2023-02-10
Total,959.0,1521.0,1034.0,717.0,57.0,4288.0,100,2023-02-10
Total,18037.0,27617.0,9866.0,4457.0,1142.0,61118.0,100,
Coal,624.0,1359.0,649.0,694.0,10.0,3336.0,76,2023-02-11
Lignite,29.0,20.0,61.0,0.0,0.0,110.0,3,2023-02-11
Hydro,115.0,25.0,73.0,31.0,16.0,260.0,6,2023-02-11
Nuclear,25.0,31.0,76.0,0.0,0.0,132.0,3,2023-02-11
"Gas, Naptha & Diesel",3.0,15.0,7.0,0.0,30.0,56.0,1,2023-02-11
Total,957.0,1581.0,1058.0,732.0,57.0,4386.0,100,2023-02-11
Total,17997.0,29274.0,9386.0,4957.0,1227.0,62840.0,100,
Coal,622.0,1340.0,653.0,696.0,10.0,3321.0,75,2023-02-12
Lignite,29.0,18.0,64.0,0.0,0.0,112.0,3,2023-02-12
Hydro,109.0,28.0,83.0,33.0,13.0,265.0,6,2023-02-12
Nuclear,25.0,31.0,76.0,0.0,0.0,132.0,3,2023-02-12
"Gas, Naptha & Diesel",3.0,10.0,7.0,0.0,30.0,50.0,1,2023-02-12
"RES (Wind, Solar, Biomass & Others)",187.0,191.0,181.0,6.0,1.0,566.0,13,2023-02-12
Total,976.0,1618.0,1064.0,734.0,54.0,4446.0,100,2023-02-12
Total,17437.0,28674.0,8886.0,3587.0,1131.0,59714.0,100,
Coal,646.0,1371.0,684.0,708.0,11.0,3420.0,72,2023-02-13
Lignite,31.0,18.0,67.0,0.0,0.0,115.0,2,2023-02-13
Hydro,112.0,31.0,82.0,32.0,13.0,269.0,6,2023-02-13
Nuclear,25.0,31.0,76.0,0.0,0.0,133.0,3,2023-02-13
"Gas, Naptha & Diesel",3.0,9.0,6.0,0.0,30.0,49.0,1,2023-02-13
"RES (Wind, Solar, Biomass & Others)",418.0,141.0,170.0,3.0,1.0,734.0,16,2023-02-13
Total,1234.0,1602.0,1085.0,743.0,54.0,4719.0,100,2023-02-13
Total,18347.0,28539.0,9686.0,4437.0,1494.0,62502.0,100,
Coal,610.0,1325.0,637.0,693.0,10.0,3275.0,76,2023-02-14
Lignite,29.0,18.0,66.0,0.0,0.0,114.0,3,2023-02-14
Nuclear,25.0,32.0,76.0,0.0,0.0,133.0,3,2023-02-14
"Gas, Naptha & Diesel",3.0,8.0,7.0,0.0,30.0,48.0,1,2023-02-14
"RES (Wind, Solar, Biomass & Others)",187.0,126.0,179.0,3.0,1.0,496.0,12,2023-02-14
Total,973.0,1533.0,1020.0,722.0,52.0,4299.0,100,2023-02-14
Total,18460.0,26567.0,8624.0,4287.0,1544.0,59481.0,100,
Coal,642.0,1377.0,664.0,710.0,10.0,3405.0,76,2023-02-15
Hydro,120.0,33.0,67.0,33.0,10.0,263.0,6,2023-02-15
Nuclear,25.0,32.0,76.0,0.0,0.0,133.0,3,2023-02-15
"Gas, Naptha & Diesel",4.0,15.0,6.0,0.0,24.0,49.0,1,2023-02-15
"RES (Wind, Solar, Biomass & Others)",176.0,137.0,193.0,3.0,1.0,511.0,1,2023-02-15
Total,997.0,1614.0,1078.0,746.0,45.0,4481.0,100,2023-02-15
Total,16582.0,29549.0,8424.0,2877.0,1606.0,59038.0,100,
Coal,669.0,1429.0,713.0,732.0,11.0,3553.0,76,2023-02-16
Lignite,28.0,20.0,68.0,0.0,0.0,116.0,3,2023-02-16
Hydro,115.0,56.0,78.0,33.0,9.0,291.0,6,2023-02-16
Nuclear,25.0,32.0,76.0,0.0,0.0,133.0,3,2023-02-16
"Gas, Naptha & Diesel",12.0,19.0,7.0,0.0,23.0,60.0,1,2023-02-16
"RES (Wind, Solar, Biomass & Others)",178.0,131.0,181.0,4.0,1.0,495.0,11,2023-02-16
Total,1027.0,1686.0,1123.0,769.0,44.0,4648.0,100,2023-02-16
Total,16317.0,26164.0,7779.0,2587.0,1544.0,54390.0,100,
Coal,703.0,1411.0,712.0,743.0,11.0,3581.0,77,2023-02-17
Lignite,27.0,20.0,68.0,0.0,0.0,115.0,2,2023-02-17
Hydro,113.0,52.0,81.0,33.0,9.0,289.0,6,2023-02-17
Nuclear,25.0,32.0,76.0,0.0,0.0,133.0,3,2023-02-17
"Gas, Naptha & Diesel",11.0,19.0,7.0,0.0,23.0,59.0,1,2023-02-17
"RES (Wind, Solar, Biomass & Others)",171.0,125.0,181.0,3.0,1.0,482.0,10,2023-02-17
Total,1051.0,1659.0,1125.0,779.0,44.0,4658.0,100,2023-02-17
Total,17292.0,24479.0,6719.0,2787.0,1371.0,52647.0,100,
Lignite,27.0,20.0,67.0,0.0,0.0,115.0,2,
Nuclear,27.0,32.0,76.0,0.0,0.0,135.0,3,
"Gas, Naptha & Diesel",10.0,17.0,6.0,0.0,24.0,57.0,1,
"RES (Wind, Solar, Biomass & Others)",135.0,153.0,177.0,7.0,1.0,473.0,10,
Total,18262.0,26199.0,5369.0,2587.0,722.0,53138.0,100,
Coal,588.0,1359.0,676.0,703.0,9.0,3336.0,68,2023-02-18
Lignite,30.0,21.0,70.0,0.0,0.0,121.0,2,2023-02-18
Hydro,113.0,28.0,61.0,23.0,10.0,235.0,5,2023-02-18
Nuclear,30.0,32.0,76.0,0.0,0.0,139.0,3,2023-02-18
Total,932.0,1623.0,1543.0,733.0,45.0,4874.0,100,2023-02-18
Total,18567.0,25949.0,6719.0,3480.0,722.0,55436.0,100,
Coal,553.0,1339.0,659.0,654.0,11.0,3216.0,75,2023-02-19
Lignite,27.0,21.0,70.0,0.0,0.0,118.0,3,2023-02-19
Hydro,116.0,20.0,61.0,27.0,7.0,232.0,5,2023-02-19
Nuclear,31.0,34.0,74.0,0.0,0.0,139.0,3,2023-02-19
"Gas, Naptha & Diesel",5.0,15.0,5.0,0.0,31.0,56.0,1,2023-02-19
"RES (Wind, Solar, Biomass & Others)",175.0,157.0,195.0,4.0,0.0,532.0,12,2023-02-19
Total,906.0,1586.0,1064.0,686.0,49.0,4291.0,100,2023-02-19
Total,18437.0,25186.0,8811.0,3885.0,758.0,57077.0,100,
Coal,543.0,1312.0,621.0,643.0,11.0,3131.0,74,2023-02-20
Lignite,26.0,21.0,68.0,0.0,0.0,115.0,3,2023-02-20
Hydro,119.0,19.0,58.0,29.0,11.0,235.0,6,2023-02-20
"Gas, Naptha & Diesel",7.0,12.0,5.0,0.0,31.0,55.0,1,2023-02-20
"RES (Wind, Solar, Biomass & Others)",200.0,148.0,201.0,4.0,1.0,554.0,13,2023-02-20
Total,924.0,1547.0,1023.0,676.0,54.0,4224.0,100,2023-02-20
Total,19492.0,26146.0,8039.0,3285.0,867.0,57829.0,100,
Coal,566.0,1379.0,654.0,680.0,13.0,3293.0,74,2023-02-21
Lignite,25.0,21.0,2.0,0.0,0.0,118.0,3,2023-02-21
Nuclear,30.0,34.0,70.0,0.0,0.0,134.0,3,2023-02-21
"Gas, Naptha & Diesel",7.0,15.0,6.0,0.0,31.0,59.0,1,2023-02-21
"RES (Wind, Solar, Biomass & Others)",207.0,177.0,188.0,3.0,1.0,575.0,13,2023-02-21
Total,957.0,1660.0,1064.0,718.0,56.0,4455.0,100,2023-02-21
Total,17832.0,24226.0,6889.0,2665.0,874.0,52486.0,100,
Coal,609.0,1410.0,698.0,706.0,16.0,3437.0,76,2023-02-22
Hydro,126.0,43.0,70.0,41.0,11.0,291.0,6,2023-02-22
Nuclear,30.0,34.0,70.0,0.0,0.0,134.0,3,2023-02-22
"Gas, Naptha & Diesel",8.0,16.0,7.0,0.0,31.0,62.0,1,2023-02-22
"RES (Wind, Solar, Biomass & Others)",173.0,156.0,174.0,3.0,1.0,507.0,1,2023-02-22
Total,971.0,1680.0,1089.0,749.0,58.0,4548.0,100,2023-02-22
Total,15692.0,25731.0,7489.0,2065.0,781.0,51757.0,100,
Coal,627.0,1319.0,712.0,715.0,15.0,3388.0,74,2023-02-23
Lignite,22.0,22.0,69.0,0.0,0.0,113.0,2,2023-02-23
Nuclear,30.0,34.0,70.0,0.0,0.0,134.0,3,2023-02-23
"Gas, Naptha & Diesel",8.0,15.0,7.0,0.0,31.0,60.0,1,2023-02-23
"RES (Wind, Solar, Biomass & Others)",179.0,192.0,180.0,6.0,1.0,559.0,12,2023-02-23
Total,988.0,1651.0,1109.0,765.0,62.0,4575.0,100,2023-02-23
Total,16277.0,23956.0,8024.0,2080.0,882.0,51218.0,100,
Coal,643.0,1334.0,711.0,732.0,17.0,3436.0,75,2023-02-24
Lignite,23.0,22.0,68.0,0.0,0.0,112.0,2,2023-02-24
Hydro,119.0,67.0,80.0,38.0,10.0,314.0,7,2023-02-24
Nuclear,30.0,33.0,70.0,0.0,0.0,134.0,3,2023-02-24
"Gas, Naptha & Diesel",7.0,13.0,7.0,0.0,31.0,58.0,1,2023-02-24
"RES (Wind, Solar, Biomass & Others)",200.0,172.0,178.0,6.0,1.0,558.0,12,2023-02-24
Total,1021.0,1641.0,1113.0,716.0,59.0,4611.0,100,2023-02-24
Total,16092.0,23306.0,9329.0,3350.0,882.0,52958.0,100,
Coal,674.0,1384.0,698.0,733.0,17.0,3506.0,76,2023-02-25
Lignite,22.0,21.0,64.0,0.0,0.0,107.0,2,2023-02-25
Nuclear,30.0,33.0,69.0,0.0,0.0,133.0,3,2023-02-25
"Gas, Naptha & Diesel",7.0,14.0,7.0,0.0,31.0,58.0,1,2023-02-25
